JK,Tanggal Lahir,Tempat Lahir,Asal Kecamatan,Jenis Tinggal,Alat Transportasi,Jenjang Pendidikan Ayh,Pekerjaan Ayh,Penghasilan Ayh,Jenjang Pendidikan Ibu,Pekerjaan Ibu,Penghasilan Ibu,Keluar Karena
L,2003-01-28,SEMARANG,Cilacap Tengah,Bersama orang tua,Sepeda,SMP / sederajat,Wiraswasta,"Rp. 5,000,000 - Rp. 20,000,000",D3,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
L,2004-11-14,SEMARANG,Mijen,Bersama orang tua,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",SMP / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
L,2006-05-26,Semarang,Ngaliyan,Bersama orang tua,Ojek,SD / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Tidak bekerja,Tidak Berpenghasilan,Mutasi
L,1998-07-08,TEGAL,Balapulang,Panti asuhan,Sepeda motor,SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1995-12-18,SEMARANG,Semarang,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1999-04-04,SEMARANG,Gunung Pati,Asrama,Jalan kaki,Putus SD,Pensiunan,"Rp. 1,000,000 - Rp. 1,999,999",Putus SD,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2002-07-02,Kendal,Kaliwungu,Asrama,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1996-09-28,KENDAL,Boja,Asrama,Jalan kaki,SMP / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1997-07-07,KENDAL,Singorojo,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1997-12-18,SEMARANG,Mijen,Bersama orang tua,Sepeda motor,Putus SD,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Putus SD,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
