JK,Tanggal Lahir,Tempat Lahir,Asal Kecamatan,Jenis Tinggal,Alat Transportasi,Jenjang Pendidikan Ayh,Pekerjaan Ayh,Penghasilan Ayh,Jenjang Pendidikan Ibu,Pekerjaan Ibu,Penghasilan Ibu,Keluar Karena
L,2003-01-28,Semarang,Cilacap Tengah,Bersama Orang Tua,Sepeda,Smp / Sederajat,Wiraswasta,"Rp. 5,000,000 - Rp. 20,000,000",D3,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
L,2004-11-14,Semarang,Mijen,Bersama Orang Tua,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",Smp / Sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
L,2006-05-26,Semarang,Ngaliyan,Bersama Orang Tua,Ojek,Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Tidak Bekerja,Tidak Berpenghasilan,Mutasi
L,1998-07-08,Tegal,Balapulang,Panti Asuhan,Sepeda Motor,Sd / Sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1995-12-18,Semarang,Semarang,Asrama,Jalan Kaki,Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1999-04-04,Semarang,Gunung Pati,Asrama,Jalan Kaki,Putus Sd,Pensiunan,"Rp. 1,000,000 - Rp. 1,999,999",Putus Sd,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2002-07-02,Kendal,Kaliwungu,Asrama,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1996-09-28,Kendal,Boja,Asrama,Jalan Kaki,Smp / Sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1997-07-07,Kendal,Singorojo,Asrama,Jalan Kaki,Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1997-12-18,Semarang,Mijen,Bersama Orang Tua,Sepeda Motor,Putus Sd,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Putus Sd,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
